o_cz,d_cz,n,o_name,d_name
3300,302,94,New Orleans,Knoxville
1400,302,73,Fayetteville,Knoxville
2400,302,81,Richmond,Knoxville
4200,302,43,Little Rock,Knoxville
31201,302,55,Austin,Knoxville
18600,302,47,Albany,Knoxville
7400,302,280,Orlando,Knoxville
10900,302,95,Pensacola,Knoxville
19200,302,60,Harrisburg,Knoxville
22500,302,26,Oshkosh,Knoxville
2000,302,112,Virginia Beach,Knoxville
34901,302,27,Albuquerque,Knoxville
3003,302,63,Jackson,Knoxville
30402,302,26,Tulsa,Knoxville
13600,302,86,South Bend,Knoxville
31301,302,53,San Antonio,Knoxville
20800,302,21,Springfield,Knoxville
16500,302,39,Erie,Knoxville
15200,302,160,Cleveland,Knoxville
1701,302,148,Raleigh,Knoxville
5202,302,877,Memphis,Knoxville
6700,302,344,Tampa,Knoxville
14200,302,150,Indianapolis,Knoxville
14900,302,64,Gary,Knoxville
18000,302,134,Buffalo,Knoxville
37901,302,82,Las Vegas,Knoxville
20401,302,41,Providence,Knoxville
35001,302,102,Phoenix,Knoxville
20100,302,33,Portland,Knoxville
30601,302,21,El Paso,Knoxville
11001,302,81,Mobile,Knoxville
3500,302,58,Baton Rouge,Knoxville
24100,302,70,Milwaukee,Knoxville
37800,302,61,San Francisco,Knoxville
20500,302,132,Boston,Knoxville
35100,302,42,Tucson,Knoxville
33100,302,115,Dallas,Knoxville
28900,302,91,Denver,Knoxville
17700,302,71,Syracuse,Knoxville
38601,302,18,Spokane,Knoxville
11600,302,506,Detroit,Knoxville
34701,302,21,Honolulu,Knoxville
29502,302,53,Kansas City,Knoxville
19300,302,58,Poughkeepsie,Knoxville
36100,302,40,Salt Lake City,Knoxville
18800,302,41,Scranton,Knoxville
37000,302,31,Modesto,Knoxville
28401,302,37,Colorado Springs,Knoxville
19000,302,30,Allentown,Knoxville
24000,302,42,Kenosha,Knoxville
39400,302,98,Seattle,Knoxville
20600,302,68,Manchester,Knoxville
24701,302,105,St. Louis,Knoxville
15900,302,132,Columbus,Knoxville
37100,302,27,Bakersfield,Knoxville
12501,302,231,Dayton,Knoxville
33803,302,37,Oklahoma City,Knoxville
19400,302,158,New York,Knoxville
38300,302,391,Los Angeles,Knoxville
3800,302,17,Lafayette,Knoxville
16300,302,99,Pittsburgh,Knoxville
24400,302,56,Rockford,Knoxville
7100,302,168,Port St. Lucie,Knoxville
8300,302,168,Greenville,Knoxville
12701,302,308,Cincinnati,Knoxville
5600,302,1604,Nashville,Knoxville
21501,302,80,Minneapolis,Knoxville
24300,302,355,Chicago,Knoxville
8100,302,72,Columbia,Knoxville
37400,302,80,Sacramento,Knoxville
11302,302,101,Baltimore,Knoxville
900,302,222,Charlotte,Knoxville
19600,302,145,Newark,Knoxville
8202,302,73,Charleston,Knoxville
28202,302,41,Omaha,Knoxville
38000,302,75,San Diego,Knoxville
7000,302,267,Miami,Knoxville
19100,302,65,Reading,Knoxville
13501,302,127,Toledo,Knoxville
20901,302,127,Bridgeport,Knoxville
38901,302,13,Eugene,Knoxville
7600,302,145,Jacksonville,Knoxville
33000,302,70,Fort Worth,Knoxville
37200,302,31,Fresno,Knoxville
9100,302,719,Atlanta,Knoxville
14100,302,67,Fort Wayne,Knoxville
12200,302,106,Grand Rapids,Knoxville
13101,302,126,Louisville,Knoxville
302,302,55022,Knoxville,Knoxville
11304,302,324,Washington DC,Knoxville
19700,302,174,Philadelphia,Knoxville
500,302,119,Greensboro,Knoxville
19500,302,45,Toms River,Knoxville
15000,302,63,Canton,Knoxville
37500,302,18,San Jose,Knoxville
10700,302,141,Birmingham,Knoxville
31600,302,22,Brownsville,Knoxville
16400,302,51,Youngstown,Knoxville
32000,302,164,Houston,Knoxville
38801,302,42,Portland,Knoxville
302,500,55,Knoxville,Greensboro
28401,500,37,Colorado Springs,Greensboro
14900,500,26,Gary,Greensboro
11600,500,317,Detroit,Greensboro
5202,500,61,Memphis,Greensboro
33100,500,84,Dallas,Greensboro
1400,500,1667,Fayetteville,Greensboro
500,500,77816,Greensboro,Greensboro
16300,500,206,Pittsburgh,Greensboro
20500,500,205,Boston,Greensboro
24400,500,32,Rockford,Greensboro
19200,500,108,Harrisburg,Greensboro
20600,500,111,Manchester,Greensboro
37901,500,64,Las Vegas,Greensboro
19600,500,653,Newark,Greensboro
36100,500,27,Salt Lake City,Greensboro
38000,500,69,San Diego,Greensboro
14200,500,51,Indianapolis,Greensboro
7000,500,231,Miami,Greensboro
15000,500,71,Canton,Greensboro
3003,500,20,Jackson,Greensboro
3300,500,38,New Orleans,Greensboro
16400,500,73,Youngstown,Greensboro
20901,500,297,Bridgeport,Greensboro
18000,500,262,Buffalo,Greensboro
900,500,2257,Charlotte,Greensboro
37200,500,33,Fresno,Greensboro
37800,500,69,San Francisco,Greensboro
24000,500,23,Kenosha,Greensboro
2000,500,464,Virginia Beach,Greensboro
1701,500,4365,Raleigh,Greensboro
35100,500,22,Tucson,Greensboro
12501,500,60,Dayton,Greensboro
3800,500,6,Lafayette,Greensboro
12200,500,87,Grand Rapids,Greensboro
17700,500,173,Syracuse,Greensboro
5600,500,62,Nashville,Greensboro
31201,500,28,Austin,Greensboro
19100,500,74,Reading,Greensboro
24100,500,50,Milwaukee,Greensboro
14100,500,26,Fort Wayne,Greensboro
30402,500,19,Tulsa,Greensboro
15200,500,185,Cleveland,Greensboro
37400,500,53,Sacramento,Greensboro
11302,500,378,Baltimore,Greensboro
10900,500,51,Pensacola,Greensboro
8300,500,169,Greenville,Greensboro
19000,500,65,Allentown,Greensboro
15900,500,122,Columbus,Greensboro
9100,500,498,Atlanta,Greensboro
20401,500,98,Providence,Greensboro
19700,500,524,Philadelphia,Greensboro
22500,500,15,Oshkosh,Greensboro
10700,500,39,Birmingham,Greensboro
38601,500,18,Spokane,Greensboro
19300,500,100,Poughkeepsie,Greensboro
8202,500,123,Charleston,Greensboro
24300,500,213,Chicago,Greensboro
28900,500,71,Denver,Greensboro
29502,500,52,Kansas City,Greensboro
30601,500,25,El Paso,Greensboro
13101,500,57,Louisville,Greensboro
11001,500,34,Mobile,Greensboro
12701,500,110,Cincinnati,Greensboro
3500,500,18,Baton Rouge,Greensboro
28202,500,26,Omaha,Greensboro
38300,500,322,Los Angeles,Greensboro
37500,500,41,San Jose,Greensboro
7400,500,180,Orlando,Greensboro
20800,500,54,Springfield,Greensboro
21501,500,82,Minneapolis,Greensboro
18600,500,111,Albany,Greensboro
37100,500,19,Bakersfield,Greensboro
13600,500,28,South Bend,Greensboro
19500,500,151,Toms River,Greensboro
38801,500,35,Portland,Greensboro
13501,500,54,Toledo,Greensboro
37000,500,12,Modesto,Greensboro
35001,500,93,Phoenix,Greensboro
33000,500,46,Fort Worth,Greensboro
34901,500,13,Albuquerque,Greensboro
6700,500,197,Tampa,Greensboro
31600,500,30,Brownsville,Greensboro
8100,500,174,Columbia,Greensboro
34701,500,20,Honolulu,Greensboro
18800,500,89,Scranton,Greensboro
4200,500,13,Little Rock,Greensboro
19400,500,955,New York,Greensboro
24701,500,65,St. Louis,Greensboro
38901,500,19,Eugene,Greensboro
